D,fcy,Ac,As,αsc,Nu0,C,Ns,Vs,Vc,N
114.8,42.7,8992.02357273739,1358.77023860412,0.151108393746179,869.99152090458,360.654836632108,486.032114348694,459264.340648193,3039303.96758524,1110.0
114.8,42.7,8992.02357273739,1358.77023860412,0.151108393746179,869.99152090458,360.654836632108,486.032114348694,466058.191841213,3084264.08544892,1030.0
130.1,42.7,12370.2174230507,923.439744596184,0.0746502436469263,827.679793136806,408.721204232032,299.471509172542,365682.138860089,4898606.09952806,1240.0
133.1,42.7,12095.7678888331,1818.03966863241,0.150303782723117,1106.07955339066,418.145982192801,589.590264537492,721761.748447068,4802019.85186672,1440.0
158.7,18.7,19334.6256812347,446.168988662823,0.0230761637705691,460.160846733572,498.5707541247,98.6033464944838,200776.04489827,8700581.55655559,699.7
157.5,18.7,18747.6505098379,735.132680940013,0.0392119898199642,577.001930263493,494.800842940392,226.420865729524,330809.706423006,8436442.72942707,815.4
157.7,18.7,18486.4635231667,1045.8311678318,0.0565728088837106,644.804581883112,495.42916147111,299.107713999894,470624.025524309,8318908.58542503,907.5
273.0,29.62,51874.7632942381,6660.17642561036,0.128389528986056,3579.20659851003,857.654794430014,2042.6761097347,7326194.0681714,57062239.6236619,5576.0
204.0,28.45,31415.9265358979,1269.20343205028,0.0404,1192.29975716452,640.884901332318,298.516647218225,1066130.88292223,26389378.2901543,1294.0
204.0,39.53,31415.9265358979,1269.20343205028,0.0404,1540.38822318227,640.884901332318,298.516647218225,1066130.88292223,26389378.2901543,1637.0
204.0,40.28,31415.9265358979,1269.20343205028,0.0404,1563.95016808419,640.884901332318,298.516647218225,1066130.88292223,26389378.2901543,1691.0
96.0,28.45,5808.80481648753,1429.42465738336,0.246078961600865,752.182261350676,301.59289474462,586.921764321606,643241.09582251,2613962.16741939,1044.0
96.0,28.45,5808.80481648753,1429.42465738336,0.246078961600865,752.182261350676,301.59289474462,586.921764321606,643241.09582251,2613962.16741939,1166.0
96.0,39.53,5808.80481648753,1429.42465738336,0.246078961600865,816.543818717358,301.59289474462,586.921764321606,571769.862953342,2323521.92659501,1176.0
96.0,39.53,5808.80481648753,1429.42465738336,0.246078961600865,816.543818717358,301.59289474462,586.921764321606,571769.862953342,2323521.92659501,1171.0
96.0,39.53,5808.80481648753,1429.42465738336,0.246078961600865,816.543818717358,301.59289474462,586.921764321606,571769.862953342,2323521.92659501,1073.0
96.0,39.53,5808.80481648753,1429.42465738336,0.246078961600865,816.543818717358,301.59289474462,586.921764321606,578916.986240259,2352565.95067745,1122.0
166.0,26.56,19113.4497044403,2528.98208613979,0.132314266929652,1201.60590858669,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,1744.0
166.0,26.56,19113.4497044403,2528.98208613979,0.132314266929652,1201.60590858669,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,1695.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,1862.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,1872.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,1695.0
166.0,29.62,19113.4497044403,2528.98208613979,0.132314266929652,1260.09306468228,521.504380495906,693.952684436757,1669128.17685226,12614876.8049306,1735.0
